house_id,file_name,detected_timestamp_column,detected_aggregate_power_column,original_rows,original_columns,invalid_timestamps,invalid_power_values_before_cleaning,duplicated_timestamps_removed,detected_step_seconds,target_frequency,physically_invalid_low_values,physically_invalid_high_values,rows_after_resampling,missing_before_interp,interpolated_points,large_gap_points,outlier_corrected_points,valid_points_final,missing_points_final,min_hmm_run_length_steps,points_valid_for_hmm,points_excluded_for_hmm_short_runs,num_hmm_runs,median_hmm_run_length_steps,max_hmm_run_length_steps,output_file
House_1,House_1.csv,Time,Aggregate,6960008,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1968715,8.0,8s,0,0,6900678,1909385,1011678,897707,444641,6002971,897707,30,5996174,6797,1154,1343.0,103689,output_preprocessed\House_1_clean.csv.gz
House_10,House_10.csv,Time,Aggregate,6739284,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1681266,8.0,8s,0,5,6339419,1281406,522216,759190,420953,5580229,759190,30,5537347,42882,1279,549.0,90706,output_preprocessed\House_10_clean.csv.gz
House_11,House_11.csv,Time,Aggregate,4431541,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,905237,8.0,8s,0,1,4235219,708916,222559,486357,560403,3748862,486357,30,3729422,19440,390,1577.0,171208,output_preprocessed\House_11_clean.csv.gz
House_12,House_12.csv,Time,Aggregate,5859544,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1221513,8.0,8s,0,0,5266491,628460,245390,383070,488409,4883421,383070,30,4880966,2455,859,2795.0,43075,output_preprocessed\House_12_clean.csv.gz
House_13,House_13.csv,Time,Aggregate,4737371,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1146412,8.0,8s,0,0,5384099,1793140,488875,1304265,333974,4079834,1304265,30,4052670,27164,2507,287.0,134310,output_preprocessed\House_13_clean.csv.gz
House_15,House_15.csv,Time,Aggregate,6225696,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1733628,8.0,8s,0,0,6127551,1635483,774884,860599,434601,5266952,860599,30,5232449,34503,742,1152.0,141857,output_preprocessed\House_15_clean.csv.gz
House_16,House_16.csv,Time,Aggregate,5722544,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1319544,8.0,8s,0,9,5871246,1468255,433650,1034605,423491,4836641,1034605,30,4803746,32895,843,601.0,99559,output_preprocessed\House_16_clean.csv.gz
House_17,House_17.csv,Time,Aggregate,5431577,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1368858,8.0,8s,0,1,5075318,1012600,676113,336487,465809,4738831,336487,30,4719145,19686,639,1267.0,144263,output_preprocessed\House_17_clean.csv.gz
House_18,House_18.csv,Time,Aggregate,5007721,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1233718,8.0,8s,0,0,4784857,1010854,721992,288862,389088,4495995,288862,30,4480122,15873,499,2794.0,141856,output_preprocessed\House_18_clean.csv.gz
House_19,House_19.csv,Time,Aggregate,5622610,"['Time', 'Unix', 'Aggregate', 'Appliance1', 'Appliance2', 'Appliance3', 'Appliance4', 'Appliance5', 'Appliance6', 'Appliance7', 'Appliance8', 'Appliance9']",0,0,1486507,8.0,8s,0,0,5081023,944920,589002,355918,460867,4725105,355918,30,4702206,22899,1013,239.0,112592,output_preprocessed\House_19_clean.csv.gz
